W.length	k
515	-5.43E+01
516	-5.46E+01
517	-5.48E+01
518	-5.41E+01
519	-4.66E+01
520	-3.82E+01
521	-3.75E+01
522	-4.66E+01
523	-4.56E+01
524	-4.53E+01
525	-4.62E+01
526	-5.26E+01
527	-4.56E+01
528	-4.07E+01
529	-4.95E+01
530	-5.50E+01
531	-5.27E+01
532	-5.16E+01
533	-5.11E+01
534	-5.37E+01
535	-5.12E+01
536	-5.48E+01
537	-4.96E+01
538	-4.39E+01
539	-5.12E+01
540	-4.29E+01
541	-3.48E+01
542	-3.52E+01
543	-2.68E+01
544	-2.12E+01
545	-1.86E+01
546	-2.44E+01
547	-1.94E+01
548	-2.56E+01
549	-1.78E+01
550	-1.42E+01
551	-1.76E+01
552	-2.14E+01
553	-1.26E+01
554	-9.60E+00
555	-6.93E-02
556	9.67E+00
557	1.96E+01
558	2.92E+01
559	3.88E+01
560	4.86E+01
561	5.50E+01
562	5.49E+01
563	5.49E+01
564	5.48E+01
565	5.45E+01
566	5.45E+01
567	5.10E+01
568	4.14E+01
569	3.25E+01
570	2.30E+01
571	1.33E+01
572	4.52E+00
573	-1.31E+00
574	-7.05E+00
575	-1.60E+01
576	-2.09E+01
577	-1.84E+01
578	-2.52E+01
579	-3.38E+01
580	-3.69E+01
581	-4.64E+01
582	-4.78E+01
583	-4.55E+01
584	-4.58E+01
585	-4.03E+01
586	-3.28E+01
587	-2.53E+01
588	-1.56E+01
589	-5.57E+00
590	3.71E+00
591	1.22E+01
592	1.07E+01
593	7.26E-01
594	-8.56E+00
595	-1.63E+01
596	-2.48E+01
597	-2.67E+01
598	-3.24E+01
599	-3.53E+01
600	-3.60E+01
601	-3.32E+01
602	-4.17E+01
603	-4.53E+01
604	-4.20E+01
605	-5.07E+01
606	-4.32E+01
607	-4.60E+01
608	-4.83E+01
609	-4.12E+01
610	-3.19E+01
611	-3.00E+01
612	-2.67E+01
613	-3.25E+01
614	-3.70E+01
615	-4.65E+01
616	-4.51E+01
617	-5.21E+01
618	-4.60E+01
619	-5.38E+01
620	-4.38E+01
621	-4.90E+01
622	-4.46E+01
623	-3.99E+01
624	-3.41E+01
625	-3.55E+01
626	-2.74E+01
627	-1.97E+01
628	-2.08E+01
629	-1.12E+01
630	-1.26E+01
631	-2.78E+00
632	5.78E+00
633	1.52E+01
634	1.15E+01
635	1.54E+01
636	1.41E+01
637	9.99E+00
638	2.14E+00
639	-6.70E+00
640	-1.32E+01
641	-2.24E+01
642	-3.24E+01
643	-4.16E+01
644	-4.70E+01
645	-4.81E+01
646	-4.80E+01
647	-4.16E+01
648	-3.92E+01
649	-4.30E+01
650	-3.70E+01
651	-2.71E+01
652	-1.71E+01
653	-7.18E+00
654	2.80E+00
655	1.27E+01
656	2.27E+01
657	3.27E+01
658	4.26E+01
659	5.24E+01
660	5.47E+01
661	5.49E+01
662	5.48E+01
663	5.48E+01
664	5.29E+01
665	4.37E+01
666	3.43E+01
667	2.51E+01
668	1.53E+01
669	5.78E+00
670	-2.33E+00
671	-1.13E+01
672	-8.31E+00
673	-1.64E+01
674	-2.55E+01
675	-2.00E+01
676	-2.04E+01
677	-2.94E+01
678	-3.74E+01
679	-4.63E+01
680	-5.44E+01
681	-5.44E+01
682	-5.24E+01
683	-5.05E+01
684	-5.38E+01
685	-5.20E+01
686	-5.42E+01
687	-5.25E+01
688	-5.13E+01
689	-5.16E+01
690	-5.16E+01
691	-4.53E+01
692	-4.82E+01
693	-4.94E+01
694	-4.66E+01
695	-4.94E+01
696	-5.23E+01
697	-4.71E+01
698	-4.71E+01
699	-5.08E+01
700	-5.47E+01
701	-5.45E+01
702	-5.42E+01
703	-5.24E+01
704	-5.47E+01
705	-5.41E+01
706	-5.46E+01
707	-5.42E+01
708	-5.48E+01
709	-5.46E+01
710	-5.42E+01
711	-5.49E+01
712	-5.41E+01
713	-5.46E+01
714	-5.47E+01
715	-5.46E+01
716	-5.48E+01
717	-5.49E+01
718	-5.48E+01
719	-5.49E+01
720	-5.48E+01
721	-5.41E+01
722	-5.41E+01
723	-5.46E+01
724	-5.48E+01
725	-5.45E+01
726	-5.41E+01
727	-5.38E+01
728	-5.31E+01
729	-5.29E+01
730	-5.03E+01
