# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Zelkova serrata trunk.
#wl,R
350,0.0839538
351,0.0765661
352,0.0738726
353,0.0715016
354,0.0735644
355,0.0784806
356,0.0790874
357,0.0758709
358,0.0734251
359,0.0747555
360,0.0760159
361,0.0756172
362,0.07383
363,0.0713183
364,0.0684207
365,0.0693514
366,0.0730828
367,0.0728835
368,0.071126
369,0.0699198
370,0.0707348
371,0.0725802
372,0.0745157
373,0.0745545
374,0.0716934
375,0.0736035
376,0.0751533
377,0.074229
378,0.0736826
379,0.073073
380,0.0731722
381,0.0741183
382,0.0734376
383,0.0740718
384,0.074899
385,0.0738601
386,0.0736461
387,0.0748743
388,0.0762486
389,0.0738319
390,0.0739154
391,0.0749987
392,0.0747471
393,0.0753022
394,0.0754073
395,0.0756026
396,0.0771287
397,0.0765761
398,0.0761007
399,0.0768746
400,0.0775199
401,0.07734
402,0.0766208
403,0.0759501
404,0.0758775
405,0.0762404
406,0.0767661
407,0.0774385
408,0.0759401
409,0.0756242
410,0.0776257
411,0.0774748
412,0.0772346
413,0.077377
414,0.0777697
415,0.0770648
416,0.0770193
417,0.0777533
418,0.0774576
419,0.0774852
420,0.0778855
421,0.0782691
422,0.0778774
423,0.0777261
424,0.0779049
425,0.0782071
426,0.0783697
427,0.0782414
428,0.0783051
429,0.0789798
430,0.0788182
431,0.0785178
432,0.0787307
433,0.0789062
434,0.0790286
435,0.0791976
436,0.0794313
437,0.0796191
438,0.0797791
439,0.0799627
440,0.0800835
441,0.0803403
442,0.0805701
443,0.080696
444,0.0809489
445,0.0809499
446,0.0808506
447,0.081284
448,0.0816936
449,0.0820522
450,0.082275
451,0.082307
452,0.0823461
453,0.0826489
454,0.0828897
455,0.083238
456,0.0833509
457,0.0831345
458,0.0834196
459,0.0837032
460,0.0839542
461,0.0842151
462,0.0844173
463,0.0844855
464,0.084531
465,0.0847629
466,0.0847482
467,0.0848157
468,0.0852415
469,0.0854696
470,0.0855312
471,0.0856355
472,0.0860855
473,0.0862931
474,0.0863861
475,0.0864262
476,0.0867092
477,0.0870416
478,0.0872921
479,0.0873979
480,0.0873994
481,0.0877041
482,0.0881391
483,0.0880917
484,0.0881468
485,0.0882493
486,0.0885316
487,0.0888451
488,0.0891601
489,0.0893914
490,0.0895094
491,0.0899476
492,0.0902889
493,0.0903688
494,0.0906636
495,0.0910647
496,0.0915058
497,0.0918816
498,0.0923021
499,0.0928096
500,0.0933187
501,0.093535
502,0.0939792
503,0.0945177
504,0.0949614
505,0.0954924
506,0.0959898
507,0.0965338
508,0.0970874
509,0.0976763
510,0.0981886
511,0.0987935
512,0.0996675
513,0.100375
514,0.10099
515,0.101734
516,0.102439
517,0.103274
518,0.104197
519,0.105059
520,0.105806
521,0.106512
522,0.107382
523,0.108474
524,0.109594
525,0.110608
526,0.111523
527,0.112594
528,0.113735
529,0.11488
530,0.115888
531,0.116755
532,0.11772
533,0.118942
534,0.119883
535,0.120787
536,0.121743
537,0.12268
538,0.123642
539,0.124565
540,0.125511
541,0.126322
542,0.127128
543,0.127919
544,0.128547
545,0.129417
546,0.130271
547,0.130806
548,0.131507
549,0.132208
550,0.133007
551,0.13354
552,0.134215
553,0.134891
554,0.135436
555,0.135948
556,0.136382
557,0.136893
558,0.137392
559,0.1378
560,0.138101
561,0.138388
562,0.138735
563,0.139048
564,0.139274
565,0.139486
566,0.139638
567,0.1399
568,0.140111
569,0.140252
570,0.140343
571,0.140516
572,0.140738
573,0.140767
574,0.140836
575,0.141126
576,0.141185
577,0.141277
578,0.141349
579,0.141461
580,0.141704
581,0.141934
582,0.14208
583,0.142202
584,0.142422
585,0.142614
586,0.142695
587,0.142847
588,0.14317
589,0.143375
590,0.143621
591,0.14372
592,0.143888
593,0.144059
594,0.144248
595,0.144498
596,0.144782
597,0.145065
598,0.145202
599,0.145512
