# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Magnolia obovata trunk.
#wl,R
350,0.10148
351,0.0978964
352,0.103745
353,0.105007
354,0.10703
355,0.110153
356,0.109102
357,0.105324
358,0.105431
359,0.111423
360,0.110702
361,0.109559
362,0.110016
363,0.111131
364,0.110157
365,0.111919
366,0.115532
367,0.113305
368,0.109635
369,0.107916
370,0.109928
371,0.112918
372,0.113521
373,0.112856
374,0.113635
375,0.112431
376,0.113184
377,0.116033
378,0.11664
379,0.116423
380,0.116192
381,0.11635
382,0.115916
383,0.117251
384,0.118703
385,0.118125
386,0.117972
387,0.118965
388,0.120672
389,0.120848
390,0.12086
391,0.121702
392,0.123506
393,0.123882
394,0.124606
395,0.125687
396,0.12602
397,0.125908
398,0.126723
399,0.128243
400,0.1276
401,0.128011
402,0.128739
403,0.128476
404,0.129237
405,0.130146
406,0.130529
407,0.130772
408,0.13181
409,0.132577
410,0.132307
411,0.13225
412,0.133267
413,0.134298
414,0.134224
415,0.134566
416,0.134902
417,0.135306
418,0.136031
419,0.136674
420,0.137165
421,0.137502
422,0.137856
423,0.138419
424,0.138947
425,0.139366
426,0.139682
427,0.13995
428,0.140644
429,0.141172
430,0.141588
431,0.141992
432,0.142158
433,0.142618
434,0.143045
435,0.143459
436,0.1439
437,0.144574
438,0.145087
439,0.145352
440,0.145785
441,0.14625
442,0.146603
443,0.147027
444,0.147673
445,0.148166
446,0.148566
447,0.149208
448,0.149573
449,0.150121
450,0.150952
451,0.151501
452,0.151724
453,0.15221
454,0.152771
455,0.153103
456,0.153559
457,0.154074
458,0.154172
459,0.154623
460,0.155234
461,0.155513
462,0.156008
463,0.156451
464,0.15681
465,0.157202
466,0.157662
467,0.158255
468,0.158941
469,0.159111
470,0.159491
471,0.16016
472,0.16084
473,0.161102
474,0.161474
475,0.161975
476,0.162428
477,0.162703
478,0.163011
479,0.163625
480,0.164103
481,0.164466
482,0.164679
483,0.164983
484,0.165435
485,0.165882
486,0.166626
487,0.166969
488,0.167235
489,0.167552
490,0.167991
491,0.168593
492,0.169076
493,0.169382
494,0.169763
495,0.170384
496,0.171085
497,0.171506
498,0.171823
499,0.172285
500,0.172926
501,0.17339
502,0.17375
503,0.174204
504,0.174884
505,0.175492
506,0.175975
507,0.176475
508,0.17681
509,0.177457
510,0.178109
511,0.178802
512,0.17936
513,0.179928
514,0.180554
515,0.181178
516,0.181784
517,0.18242
518,0.183011
519,0.183677
520,0.184223
521,0.184701
522,0.185354
523,0.186066
524,0.186703
525,0.187238
526,0.187844
527,0.188486
528,0.18909
529,0.189733
530,0.190397
531,0.190985
532,0.191603
533,0.192243
534,0.192772
535,0.193304
536,0.193841
537,0.194539
538,0.195272
539,0.19584
540,0.196375
541,0.197081
542,0.197669
543,0.198105
544,0.198674
545,0.199322
546,0.199992
547,0.200509
548,0.201032
549,0.201575
550,0.202376
551,0.202841
552,0.203427
553,0.204056
554,0.204613
555,0.205118
556,0.205555
557,0.206122
558,0.206628
559,0.20692
560,0.207296
561,0.207864
562,0.208236
563,0.208642
564,0.209023
565,0.209421
566,0.209743
567,0.210276
568,0.210751
569,0.211077
570,0.211429
571,0.211827
572,0.212174
573,0.212593
574,0.212878
575,0.213354
576,0.21367
577,0.213936
578,0.214232
579,0.214682
580,0.215134
581,0.215553
582,0.215896
583,0.216273
584,0.216861
585,0.217343
586,0.217589
587,0.218007
588,0.218684
589,0.219126
590,0.21957
591,0.21986
592,0.220199
593,0.220535
594,0.221033
595,0.221524
596,0.221966
597,0.222378
598,0.222686
599,0.223273
600,0.223595
601,0.223874
602,0.224525
603,0.224842
604,0.225151
605,0.225637
606,0.226158
607,0.226734
608,0.227166
609,0.227478
610,0.227872
611,0.22834
612,0.228699
613,0.229095
614,0.229419
615,0.229551
616,0.229967
617,0.230525
618,0.23105
619,0.231571
620,0.231937
621,0.232311
622,0.232833
623,0.233467
624,0.233899
625,0.234307
626,0.234837
627,0.235377
628,0.235943
629,0.236503
630,0.23699
631,0.237397
632,0.237711
633,0.238153
634,0.239118
635,0.239624
636,0.240016
637,0.240556
638,0.240742
639,0.240813
640,0.241094
641,0.241375
642,0.241644
643,0.241758
644,0.241968
645,0.24222
646,0.242456
647,0.242741
648,0.243025
649,0.24321
650,0.243696
651,0.244141
652,0.244658
653,0.245222
654,0.24559
655,0.246306
656,0.247169
657,0.247508
658,0.247574
659,0.247823
660,0.248063
661,0.24841
662,0.248792
663,0.248988
664,0.24908
665,0.249365
666,0.249749
667,0.250049
668,0.25028
669,0.250624
670,0.251067
671,0.251633
672,0.252195
673,0.252749
674,0.253122
675,0.253582
676,0.254115
677,0.254892
678,0.255581
679,0.256327
680,0.256942
681,0.25759
682,0.258469
683,0.259599
684,0.260895
685,0.262215
686,0.263421
687,0.265044
688,0.267281
689,0.269372
690,0.271325
691,0.273685
692,0.276162
693,0.278415
694,0.280699
695,0.282988
696,0.285394
697,0.287469
698,0.289423
699,0.291473
700,0.293584
701,0.295532
702,0.297151
703,0.299113
704,0.300939
705,0.30223
706,0.303738
707,0.305465
708,0.30695
709,0.308179
710,0.309447
711,0.311012
712,0.312497
713,0.313631
714,0.314929
715,0.316034
716,0.317356
717,0.319043
718,0.320069
719,0.320988
720,0.322523
721,0.323696
722,0.32486
723,0.325875
724,0.326957
725,0.328484
726,0.329965
727,0.33141
728,0.33216
729,0.333268
730,0.334391
731,0.335471
732,0.336614
733,0.337731
734,0.339158
735,0.340215
736,0.341311
737,0.342614
738,0.343956
739,0.345148
740,0.345991
741,0.346878
742,0.34851
743,0.349531
744,0.350197
745,0.351123
746,0.35236
747,0.35362
748,0.354398
749,0.355779
750,0.356704
751,0.35756
752,0.358813
753,0.35989
754,0.361173
755,0.362597
756,0.363514
757,0.364327
758,0.365677
759,0.366984
760,0.367782
761,0.368582
762,0.369735
763,0.370844
764,0.371904
765,0.373169
766,0.373766
767,0.375015
768,0.376938
769,0.377854
770,0.37766
771,0.378707
772,0.380435
773,0.381532
774,0.382599
775,0.383908
776,0.38492
777,0.385986
778,0.386942
779,0.388149
780,0.389566
781,0.391069
782,0.391573
783,0.392757
784,0.394361
785,0.395631
786,0.396044
787,0.397019
788,0.398494
789,0.399895
790,0.400919
791,0.401426
792,0.402179
793,0.403169
794,0.404667
795,0.405988
796,0.407159
797,0.408544
798,0.40924
799,0.409896
800,0.411594
801,0.412593
802,0.413619
803,0.41558
804,0.416504
805,0.417309
806,0.418087
807,0.419244
808,0.420825
809,0.421536
810,0.422507
811,0.423699
812,0.424676
813,0.425786
814,0.427277
815,0.428954
816,0.42967
817,0.430117
818,0.431567
819,0.432425
820,0.432934
821,0.433706
822,0.434923
823,0.435837
824,0.437352
825,0.438312
826,0.439413
827,0.440497
828,0.441142
829,0.442487
830,0.443818
831,0.444363
832,0.44537
833,0.44658
834,0.447494
835,0.448377
836,0.449674
837,0.450403
838,0.451623
839,0.451951
840,0.451525
841,0.453055
842,0.45509
843,0.455534
844,0.456577
845,0.458079
846,0.458623
847,0.458955
848,0.460238
849,0.461427
850,0.462256
851,0.463724
852,0.464698
853,0.464843
854,0.466363
855,0.466404
856,0.467089
857,0.468972
858,0.469821
859,0.470286
860,0.470192
861,0.472593
862,0.474093
863,0.47437
864,0.476092
865,0.474781
866,0.475865
867,0.478364
868,0.479804
869,0.479991
870,0.479835
871,0.480466
872,0.482342
873,0.483961
874,0.482784
875,0.481883
876,0.482966
877,0.485485
878,0.486647
879,0.487073
880,0.487551
881,0.487907
882,0.487968
883,0.489683
884,0.492007
885,0.49325
886,0.492773
887,0.492114
888,0.493096
889,0.493988
890,0.495395
891,0.495848
892,0.496958
893,0.497169
894,0.498268
895,0.498922
896,0.499198
897,0.499508
898,0.501023
899,0.501928
900,0.50254
901,0.503771
902,0.504111
903,0.504275
904,0.505402
905,0.506155
906,0.505947
907,0.507023
908,0.508061
909,0.508248
910,0.508009
911,0.508772
912,0.509891
913,0.510587
914,0.510499
915,0.512046
916,0.513169
917,0.513327
918,0.513644
919,0.514371
920,0.514549
921,0.514151
922,0.515204
923,0.516382
924,0.516041
925,0.5163
926,0.518205
927,0.518612
928,0.518636
929,0.518902
930,0.518967
931,0.519729
932,0.520581
933,0.520864
934,0.520864
935,0.521117
936,0.521268
937,0.521581
938,0.522581
939,0.523104
940,0.523341
941,0.523673
942,0.524262
943,0.523748
944,0.52381
945,0.524833
946,0.525207
947,0.524306
948,0.524715
949,0.525592
950,0.525362
951,0.525156
952,0.526057
953,0.525544
954,0.523827
955,0.524976
956,0.525633
957,0.525851
958,0.525766
959,0.524403
960,0.524898
961,0.525948
962,0.525865
963,0.525961
964,0.526034
965,0.526223
966,0.525749
967,0.525621
968,0.527868
969,0.529208
970,0.528417
971,0.528039
972,0.527946
973,0.527839
974,0.528311
975,0.529766
976,0.529478
977,0.529436
978,0.530297
979,0.530203
980,0.530548
981,0.529797
982,0.530356
983,0.532039
984,0.531827
985,0.53274
986,0.534286
987,0.534605
988,0.534666
989,0.534772
990,0.534793
991,0.534066
992,0.534678
993,0.535762
994,0.535665
995,0.535169
996,0.536895
997,0.536912
998,0.537104
999,0.538688
1000,0.53969
1001,0.545417
1002,0.546819
1003,0.547104
1004,0.547378
1005,0.54785
1006,0.548514
1007,0.5485
1008,0.54855
1009,0.549004
1010,0.55011
1011,0.550587
1012,0.552041
1013,0.553586
1014,0.55436
1015,0.5554
1016,0.555273
1017,0.555342
1018,0.55702
1019,0.557753
1020,0.558356
1021,0.558017
1022,0.558807
1023,0.559694
1024,0.559563
1025,0.559933
1026,0.561501
1027,0.562956
1028,0.563178
1029,0.563324
1030,0.564317
1031,0.564386
1032,0.564961
1033,0.565679
1034,0.566083
1035,0.566243
1036,0.567475
1037,0.568262
1038,0.568302
1039,0.569062
1040,0.570601
1041,0.571443
1042,0.572048
1043,0.573975
1044,0.573582
1045,0.574496
1046,0.575629
1047,0.57582
1048,0.576705
1049,0.576742
1050,0.577386
1051,0.577869
1052,0.578158
1053,0.578555
1054,0.579679
1055,0.580907
1056,0.581244
1057,0.580995
1058,0.58072
1059,0.58144
1060,0.582324
1061,0.582766
1062,0.583597
1063,0.584648
1064,0.584693
1065,0.584671
1066,0.585222
1067,0.585732
1068,0.586075
1069,0.586281
1070,0.586826
1071,0.587204
1072,0.587921
1073,0.587898
1074,0.587988
1075,0.588601
1076,0.590624
1077,0.591542
1078,0.59154
1079,0.591878
1080,0.591299
1081,0.591015
1082,0.59162
1083,0.592518
1084,0.593347
1085,0.594301
1086,0.595061
1087,0.595008
1088,0.594446
1089,0.593525
1090,0.59324
1091,0.594303
1092,0.594478
1093,0.594973
1094,0.595801
1095,0.59627
1096,0.596445
1097,0.596515
1098,0.596583
1099,0.595968
1100,0.597108
1101,0.597433
1102,0.596776
1103,0.596647
1104,0.596732
1105,0.597214
1106,0.597611
1107,0.597795
1108,0.598021
1109,0.597723
1110,0.597734
1111,0.59789
1112,0.597902
1113,0.597499
1114,0.597553
1115,0.598878
1116,0.598759
1117,0.598001
1118,0.597878
1119,0.597133
1120,0.597058
1121,0.596895
1122,0.59593
1123,0.594296
1124,0.594553
1125,0.594666
1126,0.59466
1127,0.59446
1128,0.593863
1129,0.592758
1130,0.592164
1131,0.590983
1132,0.590616
1133,0.589998
1134,0.589279
1135,0.588617
1136,0.588563
1137,0.587986
1138,0.587352
1139,0.586701
1140,0.586036
1141,0.583748
1142,0.58224
1143,0.581959
1144,0.581034
1145,0.580835
1146,0.579242
1147,0.577921
1148,0.578054
1149,0.578459
1150,0.577153
1151,0.575055
1152,0.574708
1153,0.57388
1154,0.573782
1155,0.574105
1156,0.574244
1157,0.573714
1158,0.571788
1159,0.570167
1160,0.570817
1161,0.57192
1162,0.57202
1163,0.572603
1164,0.572421
1165,0.571975
1166,0.572634
1167,0.572937
1168,0.572852
1169,0.571534
1170,0.571659
1171,0.571237
1172,0.570636
1173,0.570514
1174,0.570376
1175,0.571443
1176,0.572113
1177,0.571444
1178,0.570897
1179,0.570566
1180,0.57057
1181,0.569815
1182,0.569365
1183,0.569448
1184,0.569872
1185,0.570717
1186,0.570675
1187,0.570273
1188,0.570003
1189,0.570292
1190,0.569972
1191,0.569971
1192,0.570097
1193,0.569589
1194,0.56995
1195,0.569652
1196,0.569032
1197,0.569495
1198,0.570453
1199,0.570083
1200,0.570276
1201,0.570315
1202,0.569474
1203,0.569516
1204,0.570122
1205,0.570368
1206,0.569405
1207,0.568945
1208,0.570021
1209,0.570325
1210,0.570241
1211,0.571025
1212,0.571047
1213,0.570375
1214,0.570506
1215,0.572128
1216,0.572809
1217,0.573115
1218,0.573778
1219,0.575133
1220,0.576246
1221,0.5771
1222,0.578061
1223,0.579584
1224,0.580548
1225,0.580926
1226,0.581776
1227,0.583273
1228,0.584232
1229,0.584845
1230,0.585198
1231,0.585277
1232,0.586357
1233,0.58793
1234,0.588544
1235,0.590542
1236,0.591009
1237,0.590977
1238,0.591361
1239,0.592575
1240,0.593666
1241,0.593801
1242,0.594067
1243,0.594619
1244,0.595449
1245,0.595851
1246,0.595932
1247,0.596353
1248,0.598004
1249,0.598503
1250,0.597945
1251,0.598636
1252,0.599662
1253,0.599957
1254,0.601177
1255,0.601643
1256,0.601023
1257,0.601852
1258,0.602545
1259,0.602924
1260,0.602937
1261,0.603139
1262,0.603693
1263,0.603744
1264,0.604013
1265,0.604329
1266,0.604832
1267,0.605231
1268,0.60463
1269,0.605685
1270,0.606952
1271,0.60693
1272,0.607831
1273,0.607522
1274,0.606806
1275,0.607006
1276,0.607023
1277,0.606787
1278,0.607375
1279,0.607897
1280,0.608378
1281,0.608955
1282,0.609237
1283,0.609236
1284,0.609424
1285,0.609264
1286,0.609426
1287,0.609946
1288,0.610638
1289,0.611221
1290,0.611613
1291,0.611175
1292,0.610658
1293,0.610624
1294,0.610146
1295,0.610281
1296,0.610532
1297,0.611039
1298,0.611768
1299,0.611453
1300,0.611114
1301,0.61114
1302,0.611795
1303,0.611377
1304,0.610951
1305,0.610171
1306,0.609682
1307,0.609694
1308,0.609813
1309,0.609285
1310,0.609322
1311,0.609831
1312,0.608905
1313,0.608331
1314,0.608218
1315,0.607712
1316,0.60795
1317,0.607794
1318,0.606887
1319,0.605821
1320,0.605563
1321,0.605819
1322,0.605034
1323,0.604481
1324,0.603972
1325,0.603725
1326,0.602863
1327,0.602824
1328,0.602624
1329,0.602163
1330,0.602519
1331,0.601602
1332,0.601678
1333,0.601517
1334,0.600226
1335,0.599487
1336,0.599143
1337,0.598703
1338,0.597796
1339,0.596615
1340,0.596243
1341,0.595983
1342,0.594352
1343,0.593834
1344,0.593266
1345,0.593179
1346,0.592849
1347,0.592794
1348,0.592127
1349,0.59092
1350,0.59012
1351,0.589829
1352,0.589283
1353,0.587808
1354,0.58726
1355,0.586946
1356,0.587947
1357,0.588578
1358,0.588983
1359,0.5885
1360,0.586145
1361,0.585691
1362,0.585526
1363,0.585198
1364,0.585624
1365,0.584274
1366,0.583252
1367,0.583259
1368,0.583519
1369,0.582682
1370,0.580915
1371,0.579494
1372,0.578398
1373,0.578801
1374,0.57751
1375,0.575912
1376,0.575833
1377,0.574886
1378,0.574105
1379,0.573188
1380,0.571394
1381,0.569842
1382,0.569689
1383,0.569033
1384,0.566703
1385,0.565881
1386,0.56416
1387,0.562805
1388,0.562062
1389,0.559503
1390,0.557264
1391,0.556222
1392,0.554308
1393,0.553841
1394,0.552939
1395,0.551897
1396,0.549713
1397,0.54756
1398,0.54683
1399,0.546116
1400,0.544326
1401,0.542982
1402,0.541525
1403,0.540643
1404,0.539722
1405,0.539198
1406,0.538914
1407,0.537388
1408,0.535412
1409,0.534338
1410,0.533187
1411,0.532185
1412,0.532016
1413,0.530614
1414,0.528565
1415,0.528674
1416,0.529062
1417,0.529193
1418,0.52875
1419,0.527106
1420,0.524648
1421,0.524044
1422,0.52433
1423,0.522804
1424,0.522723
1425,0.522407
1426,0.52182
1427,0.52201
1428,0.522114
1429,0.521673
1430,0.520016
1431,0.520231
1432,0.519966
1433,0.519422
1434,0.520765
1435,0.521955
1436,0.522045
1437,0.521212
1438,0.521308
1439,0.521069
1440,0.520153
1441,0.520764
1442,0.52123
1443,0.521075
1444,0.520983
1445,0.521488
1446,0.521945
1447,0.521639
1448,0.520772
1449,0.519877
1450,0.520044
1451,0.52195
1452,0.522628
1453,0.52245
1454,0.522048
1455,0.522339
1456,0.522678
1457,0.521717
1458,0.521339
1459,0.521757
1460,0.522096
1461,0.523068
1462,0.523514
1463,0.522985
1464,0.524139
1465,0.524501
1466,0.524679
1467,0.524969
1468,0.525358
1469,0.524489
1470,0.524067
1471,0.525457
1472,0.526176
1473,0.526275
1474,0.526686
1475,0.527006
1476,0.527138
1477,0.527889
1478,0.529071
1479,0.53004
1480,0.530288
1481,0.530014
1482,0.530101
1483,0.531038
1484,0.531501
1485,0.531514
1486,0.531722
1487,0.531864
1488,0.532994
1489,0.533286
1490,0.53301
1491,0.533919
1492,0.534037
1493,0.533778
1494,0.534858
1495,0.535723
1496,0.535266
1497,0.535915
1498,0.537138
1499,0.53803
1500,0.53894
1501,0.539019
1502,0.540014
1503,0.54027
1504,0.540154
1505,0.540188
1506,0.540108
1507,0.540673
1508,0.541578
1509,0.541959
1510,0.542464
1511,0.543758
1512,0.543857
1513,0.543988
1514,0.543855
1515,0.544389
1516,0.545358
1517,0.545005
1518,0.545651
1519,0.546157
1520,0.546764
1521,0.546478
