Dataset x,Dataset y
4.007207207207E2,5.478723404255E-1
4.028828828829E2,5.438829787234E-1
4.046846846847E2,5.452127659574E-1
4.061261261261E2,5.545212765957E-1
4.082882882883E2,5.757978723404E-1
4.097297297297E2,5.877659574468E-1
4.111711711712E2,6.077127659574E-1
4.129729729730E2,6.356382978723E-1
4.147747747748E2,6.648936170213E-1
4.172972972973E2,6.954787234043E-1
4.201801801802E2,7.340425531915E-1
4.219819819820E2,7.553191489362E-1
4.245045045045E2,7.805851063830E-1
4.284684684685E2,8.031914893617E-1
4.306306306306E2,8.390957446809E-1
4.331531531532E2,8.643617021277E-1
4.349549549550E2,8.909574468085E-1
4.374774774775E2,9.255319148936E-1
4.392792792793E2,9.494680851064E-1
4.400000000000E2,9.614361702128E-1
4.414414414414E2,9.734042553191E-1
4.425225225225E2,9.867021276596E-1
4.443243243243E2,9.946808510638E-1
4.457657657658E2,1.000000000000E0
4.486486486486E2,9.946808510638E-1
4.508108108108E2,9.760638297872E-1
4.526126126126E2,9.534574468085E-1
4.547747747748E2,9.228723404255E-1
4.562162162162E2,8.989361702128E-1
4.594594594595E2,8.736702127660E-1
4.605405405405E2,8.630319148936E-1
4.627027027027E2,8.537234042553E-1
4.637837837838E2,8.484042553191E-1
4.648648648649E2,8.537234042553E-1
4.670270270270E2,8.550531914894E-1
4.699099099099E2,8.510638297872E-1
4.713513513514E2,8.417553191489E-1
4.727927927928E2,8.311170212766E-1
4.742342342342E2,8.138297872340E-1
4.753153153153E2,7.938829787234E-1
4.760360360360E2,7.659574468085E-1
4.767567567568E2,7.380319148936E-1
4.785585585586E2,7.047872340426E-1
4.796396396396E2,6.808510638298E-1
4.807207207207E2,6.436170212766E-1
4.814414414414E2,6.103723404255E-1
4.825225225225E2,5.784574468085E-1
4.839639639640E2,5.372340425532E-1
4.846846846847E2,4.933510638298E-1
4.854054054054E2,4.561170212766E-1
4.875675675676E2,4.228723404255E-1
4.886486486486E2,3.882978723404E-1
4.893693693694E2,3.523936170213E-1
4.900900900901E2,3.271276595745E-1
4.911711711712E2,3.045212765957E-1
4.915315315315E2,2.779255319149E-1
4.922522522523E2,2.632978723404E-1
4.940540540541E2,2.433510638298E-1
4.947747747748E2,2.207446808511E-1
4.969369369369E2,1.848404255319E-1
4.990990990991E2,1.462765957447E-1
5.019819819820E2,1.196808510638E-1
5.055855855856E2,9.175531914894E-2
5.073873873874E2,7.845744680851E-2
5.102702702703E2,6.781914893617E-2
5.149549549550E2,5.585106382979E-2
5.196396396396E2,4.654255319149E-2
5.268468468468E2,3.590425531915E-2
5.329729729730E2,2.659574468085E-2
5.412612612613E2,1.728723404255E-2
5.495495495495E2,7.978723404255E-3
5.531531531532E2,7.978723404255E-3
5.574774774775E2,2.659574468085E-3
5.618018018018E2,1.329787234043E-3
5.664864864865E2,-2.659574468085E-3
5.751351351351E2,-3.989361702128E-3
5.830630630631E2,-5.319148936170E-3
5.891891891892E2,-7.978723404255E-3
5.963963963964E2,-1.329787234043E-2
6.000000000000E2,-1.196808510638E-2
