File_name,Plant species,leaf type,Measurement protocol,spectroradiometer,Site_discription
Aesculus_trunk__2012_1004_1_LICOR.txt,Aesculus turbinata Blume,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Aesculus_trunk__2012_1004_2_LICOR.txt,Aesculus turbinata Blume,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Aesculus_trunk__2012_1004_3_LICOR.txt,Aesculus turbinata Blume,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Aucuba_leaf__2012_0222_1_LICOR.txt,Aucuba japonica Thunb. var. japonica,,B-1,FieldSpec FR,The University of Tsukuba
Aucuba_leaf__2012_0222_2_LICOR.txt,Aucuba japonica Thunb. var. japonica,,B-1,FieldSpec FR,The University of Tsukuba
Aucuba_leaf__2012_0222_3_LICOR.txt,Aucuba japonica Thunb. var. japonica,,B-1,FieldSpec FR,The University of Tsukuba
Aucuba_leaf__2012_0222_4_LICOR.txt,Aucuba japonica Thunb. var. japonica,,B-1,FieldSpec FR,The University of Tsukuba
Aucuba_leaf__2012_0222_5_LICOR.txt,Aucuba japonica Thunb. var. japonica,,B-1,FieldSpec FR,The University of Tsukuba
Benthamidia_leaf_red_2010_1018_1_ASDIS.txt,Benthamidia florida (L.) Spach,A senesced red leaf,B-1,FieldSpec FR,The University of Tsukuba
Benthamidia_leaf_red_2010_1018_1_LICOR.txt,Benthamidia florida (L.) Spach,A senesced red leaf,B-1,FieldSpec FR,The University of Tsukuba
Benthamidia_leaf_red_2010_1018_2_ASDIS.txt,Benthamidia florida (L.) Spach,A senesced red leaf,B-1,FieldSpec FR,The University of Tsukuba
Benthamidia_leaf_red_2010_1018_2_LICOR.txt,Benthamidia florida (L.) Spach,A senesced red leaf,B-1,FieldSpec FR,The University of Tsukuba
Benthamidia_leaf_red_2010_1018_3_ASDIS.txt,Benthamidia florida (L.) Spach,A senesced red leaf,B-1,FieldSpec FR,The University of Tsukuba
Benthamidia_leaf_red_2010_1018_3_LICOR.txt,Benthamidia florida (L.) Spach,A senesced red leaf,B-1,FieldSpec FR,The University of Tsukuba
Betula_leaf_first_2010_0608_1_ASDIS.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0608_2_ASDIS.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0608_3_ASDIS.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0608_3_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0802_1_ASDIS.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0802_1_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0802_2_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_0802_3_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_1005_1_ASDIS.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_1005_1_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_1005_2_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_1005_3_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_first_2010_1005_4_LICOR.txt,Betula ermanii Cham.,A first-flushed leaf (flushed in end of May),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_second_2010_0802_1_ASDIS.txt,Betula ermanii Cham.,A secondary-flushed leaf (flushed in early summer),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_second_2010_0802_1_LICOR.txt,Betula ermanii Cham.,A secondary-flushed leaf (flushed in early summer),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_second_2010_0802_2_LICOR.txt,Betula ermanii Cham.,A secondary-flushed leaf (flushed in early summer),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_second_2010_0802_3_LICOR.txt,Betula ermanii Cham.,A secondary-flushed leaf (flushed in early summer),B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_yellow_2010_1006_1_ASDIS.txt,Betula ermanii Cham.,A senesced yellow leaf,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_yellow_2010_1006_1_LICOR.txt,Betula ermanii Cham.,A senesced yellow leaf,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_yellow_2010_1006_2_LICOR.txt,Betula ermanii Cham.,A senesced yellow leaf,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_leaf_yellow_2010_1006_3_LICOR.txt,Betula ermanii Cham.,A senesced yellow leaf,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_trunk__2010_0803_1_LICOR.txt,Betula ermanii Cham.,,B-4,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_trunk__2010_0803_2_LICOR.txt,Betula ermanii Cham.,,B-4,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_trunk__2010_0803_3_LICOR.txt,Betula ermanii Cham.,,B-4,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Betula_trunk__2012_1005_1_LICOR.txt,Betula platyphylla Sukaczev var. japonica (Miq.) H.Hara,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Betula_trunk__2012_1005_2_LICOR.txt,Betula platyphylla Sukaczev var. japonica (Miq.) H.Hara,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
