File_name,Plant species,leaf type,Measurement protocol,spectroradiometer,Site_discription
Betula_trunk__2012_1005_3_LICOR.txt,Betula platyphylla Sukaczev var. japonica (Miq.) H.Hara,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Castanea_trunk__2012_1004_1_LICOR.txt,Castanea crenata Siebold et Zucc.,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Castanea_trunk__2012_1004_2_LICOR.txt,Castanea crenata Siebold et Zucc.,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Castanea_trunk__2012_1004_3_LICOR.txt,Castanea crenata Siebold et Zucc.,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Chamaecyparis_leaf__2013_0118_1_LICOR.txt,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,,B-2,FieldSpec FR,The University of Tsukuba
Chamaecyparis_leaf__2013_0118_2_LICOR.txt,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,,B-2,FieldSpec FR,The University of Tsukuba
Chamaecyparis_leaf__2013_0118_3_LICOR.txt,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,,B-2,FieldSpec FR,The University of Tsukuba
Chamaecyparis_leaf__2013_0118_4_LICOR.txt,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,,B-2,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_old_2011_0503_1_ASDIS.txt,Cinnamomum camphora (L.) J.Presl,A 1-year old leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_old_2011_0503_1_LICOR.txt,Cinnamomum camphora (L.) J.Presl,A 1-year old leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_old_2011_0503_2_LICOR.txt,Cinnamomum camphora (L.) J.Presl,A 1-year old leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_old_2011_0503_3_LICOR.txt,Cinnamomum camphora (L.) J.Presl,A 1-year old leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_young_2011_0503_1_ASDIS.txt,Cinnamomum camphora (L.) J.Presl,A current year leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_young_2011_0503_1_LICOR.txt,Cinnamomum camphora (L.) J.Presl,A current year leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_young_2011_0503_2_LICOR.txt,Cinnamomum camphora (L.) J.Presl,A current year leaf,B-1,FieldSpec FR,The University of Tsukuba
Cinnamomum_leaf_young_2011_0503_3_LICOR.txt,Cinnamomum camphora (L.) J.Presl,A current year leaf,B-1,FieldSpec FR,The University of Tsukuba
Cryptomeria_shoot__2013_0119_1_LICOR.txt,Cryptomeria japonica (L.f.) D.Don,,B-2,FieldSpec FR,The University of Tsukuba
Cryptomeria_shoot__2013_0119_2_LICOR.txt,Cryptomeria japonica (L.f.) D.Don,,B-2,FieldSpec FR,The University of Tsukuba
Cryptomeria_shoot__2013_0119_3_LICOR.txt,Cryptomeria japonica (L.f.) D.Don,,B-2,FieldSpec FR,The University of Tsukuba
Cryptomeria_trunk__2011_0729_1_LICOR.txt,Cryptomeria japonica (L.f.) D.Don,,B-4,FieldSpec FR,Takayama Evergreen Coniferous Forest Site
Cryptomeria_trunk__2011_0729_2_LICOR.txt,Cryptomeria japonica (L.f.) D.Don,,B-4,FieldSpec FR,Takayama Evergreen Coniferous Forest Site
Cryptomeria_trunk__2011_0729_3_LICOR.txt,Cryptomeria japonica (L.f.) D.Don,,B-4,FieldSpec FR,Takayama Evergreen Coniferous Forest Site
Cunninghamia_leaf__2011_0629_1_ASDIS.txt,Cunninghamia lanceolata (Lamb.) Hook.,,B-2,FieldSpec FR,Tsukuba Experimental Forest of the University of Tsukuba
Cunninghamia_leaf__2011_0629_1_LICOR.txt,Cunninghamia lanceolata (Lamb.) Hook.,,B-2,FieldSpec FR,Tsukuba Experimental Forest of the University of Tsukuba
Cunninghamia_leaf__2011_0629_2_LICOR.txt,Cunninghamia lanceolata (Lamb.) Hook.,,B-2,FieldSpec FR,Tsukuba Experimental Forest of the University of Tsukuba
Cunninghamia_leaf__2011_0629_3_LICOR.txt,Cunninghamia lanceolata (Lamb.) Hook.,,B-2,FieldSpec FR,Tsukuba Experimental Forest of the University of Tsukuba
DBF_ground__2010_0803_1_LICOR.txt,,,B-6,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
DBF_ground__2010_0803_2_LICOR.txt,,,B-6,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
DBF_ground__2010_0803_3_LICOR.txt,,,B-6,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Eurya_leaf__2013_0118_1_ASDLC.txt,Eurya japonica Thunb. var. japonica,,B-3,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_1_LICOR.txt,Eurya japonica Thunb. var. japonica,,B-1,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_2_ASDLC.txt,Eurya japonica Thunb. var. japonica,,B-3,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_2_LICOR.txt,Eurya japonica Thunb. var. japonica,,B-1,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_3_ASDLC.txt,Eurya japonica Thunb. var. japonica,,B-3,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_3_LICOR.txt,Eurya japonica Thunb. var. japonica,,B-1,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_4_ASDLC.txt,Eurya japonica Thunb. var. japonica,,B-3,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_4_LICOR.txt,Eurya japonica Thunb. var. japonica,,B-1,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_5_ASDLC.txt,Eurya japonica Thunb. var. japonica,,B-3,FieldSpec FR,Chiba University
Eurya_leaf__2013_0118_5_LICOR.txt,Eurya japonica Thunb. var. japonica,,B-1,FieldSpec FR,Chiba University
Fagus_trunk__2012_1005_1_LICOR.txt,Fagus crenata Blume,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Fagus_trunk__2012_1005_2_LICOR.txt,Fagus crenata Blume,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Fagus_trunk__2012_1005_3_LICOR.txt,Fagus crenata Blume,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Hydrangea_leaf__2010_0609_1_ASDIS.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0609_1_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0609_2_ASDIS.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0609_3_ASDIS.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0803_1_ASDIS.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0803_1_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0803_2_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_0803_3_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_1006_1_ASDIS.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_1006_1_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_1006_2_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Hydrangea_leaf__2010_1006_3_LICOR.txt,Hydrangea paniculata Siebold,,B-1,FieldSpec FR,Takayama Deciduous Broadleaf Forest Site
Imperata_leaf__2010_0728_1_ASDIS.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0728_2_ASDIS.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0728_3_ASDIS.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0914_1_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0914_2_ASDIS.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0914_2_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0914_3_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_0914_4_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_1102_1_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_1102_2_ASDIS.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_1102_2_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Imperata_leaf__2010_1102_3_LICOR.txt,Imperata cylindrica (L.) Raeusch. var. koenigii (Retz.) Pilg.,,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Larix_branch__2011_0526_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,,B-5,FieldSpec FR,Tsukuba Experimental Forest of the University of Tsukuba
Larix_branch__2011_0526_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,,B-5,FieldSpec FR,Tsukuba Experimental Forest of the University of Tsukuba
Larix_leaf_long_2011_0505_1_ASDIS.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0505_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0505_2_ASDIS.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0505_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0505_3_ASDIS.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0505_3_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0526_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0526_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,"Tsukuba experinemtal forest, University of Tsukuba, Tsukuba city, Japan."
Larix_leaf_long_2011_0802_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_long_2011_0802_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_long_2011_0802_3_ASDIS.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_long_2011_0802_3_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot,B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_long_2011_1030_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (still green),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_long_2011_1030_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (still green),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_long_2011_1030_3_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (still green),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_short_2011_0802_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a sort shoot,B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_yellow_2011_1030_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (senesced yellow leaves),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_yellow_2011_1030_2_ASDIS.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (senesced yellow leaves),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_yellow_2011_1030_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (senesced yellow leaves),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_leaf_yellow_2011_1030_3_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,Leaves collected from a long shoot (senesced yellow leaves),B-2,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_trunk__2011_0802_1_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,,B-4,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_trunk__2011_0802_2_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,,B-4,FieldSpec FR,Fuji-hokuroku Flux Research Site
Larix_trunk__2011_0802_3_LICOR.txt,Larix kaempferi (Lamb.) Carri_re,,B-4,FieldSpec FR,Fuji-hokuroku Flux Research Site
Lithocarpus_leaf__2010_1018_1_ASDIS.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2010_1018_1_LICOR.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2010_1018_2_ASDIS.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2010_1018_2_LICOR.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2010_1018_3_ASDIS.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2010_1018_3_LICOR.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2011_0503_1_LICOR.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2011_0503_2_LICOR.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Lithocarpus_leaf__2011_0503_3_LICOR.txt,Lithocarpus edulis (Makino) Nakai,,B-1,FieldSpec FR,The University of Tsukuba
Machilus_leaf__2013_0118_1_ASDLC.txt,Machilus thunbergii Siebold et Zucc.,,B-3,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_1_LICOR.txt,Machilus thunbergii Siebold et Zucc.,,B-1,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_2_ASDLC.txt,Machilus thunbergii Siebold et Zucc.,,B-3,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_2_LICOR.txt,Machilus thunbergii Siebold et Zucc.,,B-1,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_3_ASDLC.txt,Machilus thunbergii Siebold et Zucc.,,B-3,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_3_LICOR.txt,Machilus thunbergii Siebold et Zucc.,,B-1,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_4_ASDLC.txt,Machilus thunbergii Siebold et Zucc.,,B-3,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_4_LICOR.txt,Machilus thunbergii Siebold et Zucc.,,B-1,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_5_ASDLC.txt,Machilus thunbergii Siebold et Zucc.,,B-3,FieldSpec FR,Chiba University
Machilus_leaf__2013_0118_5_LICOR.txt,Machilus thunbergii Siebold et Zucc.,,B-1,FieldSpec FR,Chiba University
Magnolia_trunk__2012_1005_1_LICOR.txt,Magnolia obovata Thunb.,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Magnolia_trunk__2012_1005_2_LICOR.txt,Magnolia obovata Thunb.,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Magnolia_trunk__2012_1005_3_LICOR.txt,Magnolia obovata Thunb.,,B-4,FieldSpec 3,Tsukuba Experimental Forest of the University of Tsukuba
Miscanthus_leaf_lower_2010_0727_1_ASDIS.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_0727_2_ASDIS.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_0727_3_ASDIS.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_0913_1_ASDIS.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_0913_1_LICOR.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_0913_2_LICOR.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_0913_3_LICOR.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-1,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_1102_1_LICOR.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_1102_2_LICOR.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
Miscanthus_leaf_lower_2010_1102_3_ASDIS.txt,Miscanthus sinensis Andersson,A leaf colleced from lower part of tha canopy,B-2,FieldSpec FR,The experimental grassland at the Terrestrial Environmental Research Center of the University of the Tsukuba
